unspsc_code,unspsc_type,unspsc_title,unspsc_definition,cpv_match_1_code,cpv_match_1_name,cpv_match_2_code,cpv_match_2_name,cpv_match_3_code,cpv_match_3_name
13100000,Family,Rubber and elastomers,,03116000-7,"Natural rubber and latex, and associated products",19500000-1,Rubber and plastic materials,19700000-3,Synthetic rubber and fibres
13110000,Family,Resins and rosins and other resin derived materials,,19522000-1,Resins,24327400-6,Resin products,19522100-2,Epoxy resin
13000000,Segment,Resin and Rosin and Rubber and Foam and Film and Elastomeric Materials,"This segment includes rubber and plastic material, including elastomers that are used in manufacturing and construction",19500000-1,Rubber and plastic materials,03116000-7,"Natural rubber and latex, and associated products",19510000-4,Rubber products
14100000,Family,Paper materials,,22990000-6,"Newsprint, handmade paper and other uncoated paper or paperboard for graphic purposes",22800000-8,"Paper or paperboard registers, account books, binders, forms and other articles of printed stationery",30199310-6,Embossed or perforated printing paper
14110000,Family,Paper products,,22800000-8,"Paper or paperboard registers, account books, binders, forms and other articles of printed stationery",30199100-1,"Carbon paper, self-copy paper, paper duplicator stencils and carbonless paper",30199310-6,Embossed or perforated printing paper
14120000,Family,Industrial use papers,,22993000-7,"Photosensitive, heat-sensitive or thermographic paper and paperboard",22800000-8,"Paper or paperboard registers, account books, binders, forms and other articles of printed stationery",30199100-1,"Carbon paper, self-copy paper, paper duplicator stencils and carbonless paper"
14000000,Segment,Paper Materials and Products,"This segment includes paper used for commercial printing, forms, envelopes, reprographics, and tablets as well as value-added papers which feature special surface treatments, color, chemicals, or fiber content that meet specific needs.",22800000-8,"Paper or paperboard registers, account books, binders, forms and other articles of printed stationery",30199310-6,Embossed or perforated printing paper,22993000-7,"Photosensitive, heat-sensitive or thermographic paper and paperboard"
15100000,Family,Fuels,A fuel is any material that can be made to react with other substances so that it releases energy as thermal energy or to be used for work.,09100000-0,Fuels,09111000-0,Coal and coal-based fuels,09111200-2,Coal-based fuels
15110000,Family,Gaseous fuels and additives,,09120000-6,Gaseous fuels,09121000-3,"Coal gas, mains gas or similar gases",09133000-0,Liquefied Petroleum Gas (LPG)
15120000,Family,Lubricants and oils and greases and anti corrosives,"A lubricant is a substance that helps to reduce friction between surfaces in mutual contact, which ultimately reduces the heat generated when the surfaces move. It may also have the function of transmitting forces, transporting foreign particles, or heating or cooling the surfaces.",24951000-5,Greases and lubricants,09211000-1,Lubricating oils and lubricating agents,24951100-6,Lubricants
15130000,Family,Fuel for nuclear reactors,,09340000-4,Nuclear fuels,42150000-5,Nuclear reactors and parts,09100000-0,Fuels
15000000,Segment,Fuels and Fuel Additives and Lubricants and Anti corrosive Materials,"This segment includes natural occurring gases and processed materials used to produce heat or power performance enhancing additives, processed materials designed to reduce friction and wear when introduced as a film between solid surfaces. This segment also includes materials used to reduce or prevent corrosion of metallic surfaces, and petroleum- based and synthetic waxes and jellies",09220000-7,"Petroleum jelly, waxes and special spirits",09211000-1,Lubricating oils and lubricating agents,24951000-5,Greases and lubricants
20100000,Family,Mining and quarrying machinery and equipment,,43260000-3,"Mechanical shovels, excavators and shovel loaders, and mining machinery",43120000-0,"Coal or rock cutters and tunnelling machinery, and boring or sinking machinery",43000000-3,"Machinery for mining, quarrying, construction equipment"
20110000,Family,Well drilling and operation equipment,"All temporary structures, devices, and facilities necessary and incidental to the drilling or completion of a well.",43121000-7,Well-drilling machinery,43611000-9,Parts for well-drilling machinery,43121300-0,Well-completion equipment
20120000,Family,Oil and gas drilling and exploration equipment,,34514000-3,Floating or submersible drilling or production platforms,43132000-7,Oil drilling equipment,43132200-9,Drilling rig
20130000,Family,Oil and gas drilling and operation materials,,44425000-5,"Rings, seals, bands, sticks and grout packers",43611000-9,Parts for well-drilling machinery,43132000-7,Oil drilling equipment
20140000,Family,Oil and gas operating and production equipment,,34514000-3,Floating or submersible drilling or production platforms,43132000-7,Oil drilling equipment,43612500-1,Production riser tieback equipment
20000000,Segment,Mining and Well Drilling Machinery and Accessories,This segment includes the machines and accessories necessary to burrow beneath the earth's surface or related processes for obtaining a natural element.,43120000-0,"Coal or rock cutters and tunnelling machinery, and boring or sinking machinery",43260000-3,"Mechanical shovels, excavators and shovel loaders, and mining machinery",43121000-7,Well-drilling machinery
21100000,Family,Agricultural and forestry and landscape machinery and equipment,,16100000-6,Agricultural and forestry machinery for soil preparation or cultivation,16600000-1,Specialist agricultural or forestry machinery,16400000-9,Spraying machinery for agriculture or horticulture
21110000,Family,Fishing and aquaculture equipment,,03000000-1,"Agricultural, farming, fishing, forestry and related products",50240000-9,"Repair, maintenance and associated services related to marine and other equipment",03300000-2,"Farming, hunting and fishing products"
21000000,Segment,Farming and Fishing and Forestry and Wildlife Machinery and Accessories,"This segment includes machines and accessories necessary to cultivate and preserve soil, trees, plants as well as those necessary for breeding of animals.",16100000-6,Agricultural and forestry machinery for soil preparation or cultivation,03000000-1,"Agricultural, farming, fishing, forestry and related products",16600000-1,Specialist agricultural or forestry machinery
22100000,Family,Heavy construction machinery and equipment,,43260000-3,"Mechanical shovels, excavators and shovel loaders, and mining machinery",42414000-1,"Cranes, mobile lifting frames and works trucks fitted with a crane",43120000-0,"Coal or rock cutters and tunnelling machinery, and boring or sinking machinery"
22110000,Family,Marine construction and installation equipment,"This is equipment used in offshore and other marine environments. These products will differ from normal construction products both in performance, certifications, and other options.",42414000-1,"Cranes, mobile lifting frames and works trucks fitted with a crane",50240000-9,"Repair, maintenance and associated services related to marine and other equipment",43131100-1,Offshore equipment
22000000,Segment,Building and Construction Machinery and Accessories,"This segment includes the machines and accessories used in support of the construction, repair and maintenance of structures and roads.",42414000-1,"Cranes, mobile lifting frames and works trucks fitted with a crane",43200000-5,"Earthmoving and excavating machinery, and associated parts",42420000-6,"Buckets, shovels, grabs and grips for cranes or excavators"
23100000,Family,Raw materials processing machinery,,42700000-3,"Machinery for textile, apparel and leather production",43400000-7,Mineral-processing and foundry mould-forming machinery,42212000-5,Machinery for processing cereals or dried vegetables
23110000,Family,Petroleum processing machinery,"All petroleum marketing equipment, including, but not limited to, pumps, gasoline dispensers, gas consoles, gasoline canopy, canopy structure, lights, registered and properly upgraded underground storage tanks and lines, environmental monitoring or upgrade equipment, and any related equipment or apparatus.",50511200-2,Repair and maintenance services of gas pumps,50500000-0,"Repair and maintenance services for pumps, valves, taps and metal containers and machinery",45250000-4,"Construction works for plants, mining and manufacturing and for buildings relating to the oil and gas industry"
23120000,Family,Textile and fabric machinery and accessories,,42700000-3,"Machinery for textile, apparel and leather production",42710000-6,Machinery for textiles,42711000-3,Machines for processing man-made textile materials
23130000,Family,Lapidary machinery and equipment,,42641000-1,"Machine tools for working stone, ceramics, concrete or glass",42640000-4,Machine tools for working hard materials except metals,42610000-5,Machine tools operated by laser and machining centres
23140000,Family,Leatherworking repairing machinery and equipment,,19170000-8,Leather articles used in machinery or mechanical appliances,42700000-3,"Machinery for textile, apparel and leather production",51543300-3,Installation services of leather-production machinery
23150000,Family,Industrial process machinery and equipment and supplies,,42200000-8,"Machinery for food, beverage and tobacco processing and associated parts",42215000-6,Machinery for the industrial preparation or manufacture of food or drink,42700000-3,"Machinery for textile, apparel and leather production"
23160000,Family,Foundry machines and equipment and supplies,"All the machinery and equipment used in pattern and core making, casting, and molding.",43400000-7,Mineral-processing and foundry mould-forming machinery,43420000-3,Foundry mould-forming machinery,24957100-8,Prepared binders for foundry moulds or cores
23180000,Family,Industrial food and beverage equipment,,42215000-6,Machinery for the industrial preparation or manufacture of food or drink,42200000-8,"Machinery for food, beverage and tobacco processing and associated parts",42921000-8,"Machinery for cleaning, filling, packing or wrapping bottles or other containers"
23190000,Family,Mixers and their parts and accessories,,42200000-8,"Machinery for food, beverage and tobacco processing and associated parts",43413000-1,Concrete or mortar mixers,42220000-4,"Parts of machinery for food, beverage and tobacco processing"
23200000,Family,Mass transfer equipment,,42910000-8,"Distilling, filtering or rectifying apparatus",42514000-2,Machinery and apparatus for filtering or purifying gases,42200000-8,"Machinery for food, beverage and tobacco processing and associated parts"
23210000,Family,Electronic manufacturing machinery and equipment and accessories,,42660000-0,"Soldering, brazing and welding tools, surface tempering and hot-spraying machines and equipment",34999000-6,"Signal generators, aerial signal splitters and electroplating machines",31712000-0,Microelectronic machinery and apparatus and microsystems
